,Round,Client,TestAcc
770,78,0,24.02
771,78,1,24.13
772,78,2,24.42
773,78,3,23.68
774,78,4,26.43
775,78,5,24.56
776,78,6,25.22
777,78,7,25.71
778,78,8,26.02
779,78,9,23.84
780,79,0,23.43
781,79,1,27.23
782,79,2,24.36
783,79,3,24.86
784,79,4,25.3
785,79,5,23.23
786,79,6,22.4
787,79,7,25.06
788,79,8,25.66
789,79,9,24.71
790,80,0,25.54
791,80,1,24.54
792,80,2,24.0
793,80,3,20.33
794,80,4,27.36
795,80,5,26.97
796,80,6,26.54
797,80,7,23.99
798,80,8,22.37
799,80,9,25.42
800,81,0,24.23
801,81,1,26.46
802,81,2,23.81
803,81,3,23.67
804,81,4,26.69
805,81,5,21.39
806,81,6,26.08
807,81,7,25.47
808,81,8,19.02
809,81,9,23.82
810,82,0,25.93
811,82,1,18.05
812,82,2,21.63
813,82,3,23.93
814,82,4,23.46
815,82,5,25.01
816,82,6,25.1
817,82,7,26.26
818,82,8,16.34
819,82,9,24.31
820,83,0,23.01
821,83,1,24.22
822,83,2,26.42
823,83,3,24.69
824,83,4,25.25
825,83,5,23.5
826,83,6,25.24
827,83,7,22.29
828,83,8,24.98
829,83,9,21.04
830,84,0,22.24
831,84,1,20.42
832,84,2,20.74
833,84,3,20.12
834,84,4,25.85
835,84,5,23.89
836,84,6,23.8
837,84,7,24.06
838,84,8,22.96
839,84,9,26.15
840,85,0,20.8
841,85,1,13.94
842,85,2,27.35
843,85,3,25.19
844,85,4,22.4
845,85,5,25.45
846,85,6,24.68
847,85,7,24.73
848,85,8,22.5
849,85,9,27.29
850,86,0,24.82
851,86,1,25.1
852,86,2,25.33
853,86,3,24.41
854,86,4,23.08
855,86,5,22.2
856,86,6,23.82
857,86,7,26.33
858,86,8,19.9
859,86,9,23.45
860,87,0,26.14
861,87,1,16.83
862,87,2,24.02
863,87,3,23.4
864,87,4,24.03
865,87,5,25.51
866,87,6,26.98
867,87,7,26.15
868,87,8,24.23
869,87,9,25.51
870,88,0,26.53
871,88,1,25.79
872,88,2,26.88
873,88,3,22.69
874,88,4,26.33
875,88,5,24.87
876,88,6,23.08
877,88,7,22.8
878,88,8,21.74
879,88,9,26.08
880,89,0,18.76
881,89,1,24.68
882,89,2,20.44
883,89,3,25.36
884,89,4,25.44
885,89,5,20.53
886,89,6,25.16
887,89,7,25.33
888,89,8,23.57
889,89,9,26.55
890,90,0,22.82
891,90,1,25.91
892,90,2,24.91
893,90,3,20.38
894,90,4,22.81
895,90,5,24.83
896,90,6,22.05
897,90,7,24.3
898,90,8,21.4
899,90,9,23.54
900,91,0,15.76
901,91,1,20.3
902,91,2,20.65
903,91,3,24.13
904,91,4,23.09
905,91,5,25.17
906,91,6,24.42
907,91,7,23.84
908,91,8,23.65
909,91,9,20.1
910,92,0,24.99
911,92,1,25.79
912,92,2,23.22
913,92,3,24.1
914,92,4,24.36
915,92,5,23.67
916,92,6,22.46
917,92,7,23.41
918,92,8,23.79
919,92,9,22.92
920,93,0,25.5
921,93,1,22.7
922,93,2,26.45
923,93,3,26.09
924,93,4,23.76
925,93,5,22.24
926,93,6,25.96
927,93,7,27.24
928,93,8,22.84
