,Round,Client,TestAcc
786,79,6,22.57
787,79,7,26.02
788,79,8,25.82
789,79,9,25.55
790,80,0,25.42
791,80,1,26.24
792,80,2,26.23
793,80,3,20.9
794,80,4,26.96
795,80,5,26.81
796,80,6,26.32
797,80,7,23.66
798,80,8,22.95
799,80,9,26.6
800,81,0,24.85
801,81,1,27.06
802,81,2,25.21
803,81,3,23.27
804,81,4,26.15
805,81,5,23.1
806,81,6,26.93
807,81,7,26.88
808,81,8,20.45
809,81,9,23.66
810,82,0,25.82
811,82,1,19.61
812,82,2,22.36
813,82,3,23.36
814,82,4,24.11
815,82,5,25.77
816,82,6,25.45
817,82,7,25.76
818,82,8,17.84
819,82,9,23.81
820,83,0,24.05
821,83,1,23.59
822,83,2,26.52
823,83,3,26.03
824,83,4,26.23
825,83,5,24.34
826,83,6,24.7
827,83,7,22.17
828,83,8,24.92
829,83,9,21.73
830,84,0,23.42
831,84,1,21.39
832,84,2,19.86
833,84,3,19.95
834,84,4,26.09
835,84,5,25.12
836,84,6,23.73
837,84,7,25.65
838,84,8,22.77
839,84,9,27.02
840,85,0,21.39
841,85,1,13.81
842,85,2,27.84
843,85,3,26.78
844,85,4,23.21
845,85,5,24.72
846,85,6,26.68
847,85,7,25.5
848,85,8,22.66
849,85,9,26.13
850,86,0,25.33
851,86,1,25.02
852,86,2,25.76
853,86,3,25.56
854,86,4,24.1
855,86,5,22.87
856,86,6,24.38
857,86,7,26.51
858,86,8,20.75
859,86,9,22.43
860,87,0,25.93
861,87,1,17.63
862,87,2,23.61
863,87,3,23.48
864,87,4,23.38
865,87,5,25.46
866,87,6,26.77
867,87,7,27.32
868,87,8,23.76
869,87,9,25.31
870,88,0,27.67
871,88,1,25.65
872,88,2,27.49
873,88,3,24.75
874,88,4,27.38
875,88,5,25.37
876,88,6,23.88
877,88,7,23.81
878,88,8,20.29
879,88,9,26.96
880,89,0,21.2
881,89,1,25.71
882,89,2,21.21
883,89,3,26.49
884,89,4,25.49
885,89,5,22.24
886,89,6,25.25
887,89,7,26.27
888,89,8,25.07
889,89,9,26.57
890,90,0,25.08
891,90,1,27.05
892,90,2,23.35
893,90,3,20.66
894,90,4,23.15
895,90,5,24.61
896,90,6,23.18
897,90,7,26.04
898,90,8,22.58
899,90,9,25.24
900,91,0,17.96
901,91,1,21.81
902,91,2,18.49
903,91,3,24.01
904,91,4,23.74
905,91,5,25.15
906,91,6,23.82
907,91,7,23.12
908,91,8,25.15
909,91,9,19.0
910,92,0,24.74
911,92,1,25.88
912,92,2,24.85
913,92,3,24.98
914,92,4,25.01
915,92,5,24.71
916,92,6,23.04
917,92,7,24.88
918,92,8,25.24
919,92,9,24.16
920,93,0,26.08
921,93,1,24.16
922,93,2,26.8
923,93,3,27.55
924,93,4,25.21
925,93,5,22.93
926,93,6,25.2
927,93,7,27.01
928,93,8,23.77
929,93,9,27.75
930,94,0,24.53
931,94,1,27.33
932,94,2,26.85
933,94,3,25.07
934,94,4,24.53
935,94,5,24.2
936,94,6,25.31
937,94,7,25.24
938,94,8,25.65
939,94,9,27.68
940,95,0,25.51
941,95,1,25.0
942,95,2,19.99
943,95,3,25.87
944,95,4,24.84
945,95,5,26.18
946,95,6,25.25
947,95,7,23.99
948,95,8,25.45
949,95,9,25.19
950,96,0,25.61
951,96,1,25.78
952,96,2,23.62
953,96,3,26.66
954,96,4,25.82
955,96,5,24.27
956,96,6,23.11
957,96,7,26.26
958,96,8,21.62
959,96,9,25.72
960,97,0,24.67
961,97,1,26.54
962,97,2,24.1
963,97,3,26.54
964,97,4,24.99
965,97,5,25.46
966,97,6,21.82
967,97,7,24.09
968,97,8,21.01
969,97,9,23.61
970,98,0,27.41
971,98,1,26.32
972,98,2,24.17
973,98,3,25.67
974,98,4,24.82
975,98,5,18.37
976,98,6,24.5
977,98,7,24.75
978,98,8,18.49
979,98,9,25.91
980,99,0,23.78
981,99,1,25.19
982,99,2,20.16
983,99,3,22.4
984,99,4,25.72
985,99,5,23.01
986,99,6,20.28
987,99,7,21.97
988,99,8,24.2
989,99,9,21.33
